"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131104"	"월"	"17"	"피자"	"382"
"20131104"	"월"	"18"	"음식점-족발/보쌈전문"	"246"
"20131104"	"월"	"18"	"음식점-중국음식"	"1482"
"20131104"	"월"	"18"	"치킨"	"1480"
"20131104"	"월"	"18"	"피자"	"485"
"20131104"	"월"	"19"	"음식점-족발/보쌈전문"	"265"
"20131104"	"월"	"19"	"음식점-중국음식"	"1367"
"20131104"	"월"	"19"	"치킨"	"1885"
"20131104"	"월"	"19"	"피자"	"486"
"20131104"	"월"	"20"	"음식점-족발/보쌈전문"	"223"
"20131104"	"월"	"20"	"음식점-중국음식"	"848"
"20131104"	"월"	"20"	"치킨"	"1697"
"20131104"	"월"	"20"	"피자"	"407"
"20131104"	"월"	"21"	"음식점-족발/보쌈전문"	"174"
"20131104"	"월"	"21"	"음식점-중국음식"	"327"
"20131104"	"월"	"21"	"치킨"	"1860"
"20131104"	"월"	"21"	"피자"	"397"
"20131104"	"월"	"22"	"음식점-족발/보쌈전문"	"156"
"20131104"	"월"	"22"	"음식점-중국음식"	"206"
"20131104"	"월"	"22"	"치킨"	"1828"
"20131104"	"월"	"22"	"피자"	"283"
"20131104"	"월"	"23"	"음식점-족발/보쌈전문"	"92"
"20131104"	"월"	"23"	"음식점-중국음식"	"155"
"20131104"	"월"	"23"	"치킨"	"1132"
"20131104"	"월"	"23"	"피자"	"84"
"20131105"	"화"	"00"	"음식점-족발/보쌈전문"	"37"
"20131105"	"화"	"00"	"음식점-중국음식"	"124"
"20131105"	"화"	"00"	"치킨"	"510"
"20131105"	"화"	"00"	"피자"	"39"
"20131105"	"화"	"01"	"음식점-족발/보쌈전문"	"36"
"20131105"	"화"	"01"	"음식점-중국음식"	"112"
"20131105"	"화"	"01"	"치킨"	"199"
"20131105"	"화"	"01"	"피자"	"18"
"20131105"	"화"	"02"	"음식점-족발/보쌈전문"	"12"
"20131105"	"화"	"02"	"음식점-중국음식"	"100"
"20131105"	"화"	"02"	"치킨"	"72"
"20131105"	"화"	"02"	"피자"	"10"
"20131105"	"화"	"03"	"음식점-족발/보쌈전문"	"9"
"20131105"	"화"	"03"	"음식점-중국음식"	"105"
"20131105"	"화"	"03"	"치킨"	"25"
"20131105"	"화"	"03"	"피자"	"9"
"20131105"	"화"	"04"	"음식점-족발/보쌈전문"	"6"
"20131105"	"화"	"04"	"음식점-중국음식"	"56"
"20131105"	"화"	"04"	"치킨"	"16"
"20131105"	"화"	"05"	"음식점-족발/보쌈전문"	"5"
"20131105"	"화"	"05"	"음식점-중국음식"	"57"
"20131105"	"화"	"05"	"치킨"	"16"
"20131105"	"화"	"06"	"음식점-중국음식"	"40"
"20131105"	"화"	"06"	"치킨"	"6"
"20131105"	"화"	"07"	"음식점-족발/보쌈전문"	"15"
"20131105"	"화"	"07"	"음식점-중국음식"	"48"
"20131105"	"화"	"07"	"치킨"	"6"
"20131105"	"화"	"08"	"음식점-족발/보쌈전문"	"5"
"20131105"	"화"	"08"	"음식점-중국음식"	"62"
"20131105"	"화"	"09"	"음식점-족발/보쌈전문"	"11"
"20131105"	"화"	"09"	"음식점-중국음식"	"169"
"20131105"	"화"	"09"	"치킨"	"10"
"20131105"	"화"	"09"	"피자"	"7"
"20131105"	"화"	"10"	"음식점-족발/보쌈전문"	"30"
"20131105"	"화"	"10"	"음식점-중국음식"	"454"
"20131105"	"화"	"10"	"치킨"	"23"
"20131105"	"화"	"10"	"피자"	"41"
"20131105"	"화"	"11"	"음식점-족발/보쌈전문"	"58"
"20131105"	"화"	"11"	"음식점-중국음식"	"1459"
"20131105"	"화"	"11"	"치킨"	"91"
"20131105"	"화"	"11"	"피자"	"188"
"20131105"	"화"	"12"	"음식점-족발/보쌈전문"	"68"
"20131105"	"화"	"12"	"음식점-중국음식"	"1906"
"20131105"	"화"	"12"	"치킨"	"194"
"20131105"	"화"	"12"	"피자"	"229"
"20131105"	"화"	"13"	"음식점-족발/보쌈전문"	"58"
"20131105"	"화"	"13"	"음식점-중국음식"	"1446"
"20131105"	"화"	"13"	"치킨"	"238"
"20131105"	"화"	"13"	"피자"	"183"
"20131105"	"화"	"14"	"음식점-족발/보쌈전문"	"51"
"20131105"	"화"	"14"	"음식점-중국음식"	"1031"
"20131105"	"화"	"14"	"치킨"	"250"
"20131105"	"화"	"14"	"피자"	"185"
"20131105"	"화"	"15"	"음식점-족발/보쌈전문"	"61"
"20131105"	"화"	"15"	"음식점-중국음식"	"909"
"20131105"	"화"	"15"	"치킨"	"379"
"20131105"	"화"	"15"	"피자"	"241"
"20131105"	"화"	"16"	"음식점-족발/보쌈전문"	"100"
"20131105"	"화"	"16"	"음식점-중국음식"	"869"
"20131105"	"화"	"16"	"치킨"	"598"
"20131105"	"화"	"16"	"피자"	"334"
"20131105"	"화"	"17"	"음식점-족발/보쌈전문"	"164"
"20131105"	"화"	"17"	"음식점-중국음식"	"1163"
"20131105"	"화"	"17"	"치킨"	"1151"
"20131105"	"화"	"17"	"피자"	"480"
"20131105"	"화"	"18"	"음식점-족발/보쌈전문"	"304"
"20131105"	"화"	"18"	"음식점-중국음식"	"1658"
"20131105"	"화"	"18"	"치킨"	"1793"
"20131105"	"화"	"18"	"피자"	"577"
"20131105"	"화"	"19"	"음식점-족발/보쌈전문"	"329"
"20131105"	"화"	"19"	"음식점-중국음식"	"1403"
"20131105"	"화"	"19"	"치킨"	"2227"
"20131105"	"화"	"19"	"피자"	"588"
"20131105"	"화"	"20"	"음식점-족발/보쌈전문"	"242"
"20131105"	"화"	"20"	"음식점-중국음식"	"912"
"20131105"	"화"	"20"	"치킨"	"2088"
"20131105"	"화"	"20"	"피자"	"493"
"20131105"	"화"	"21"	"음식점-족발/보쌈전문"	"196"
"20131105"	"화"	"21"	"음식점-중국음식"	"339"
"20131105"	"화"	"21"	"치킨"	"1999"
"20131105"	"화"	"21"	"피자"	"391"
"20131105"	"화"	"22"	"음식점-족발/보쌈전문"	"189"
"20131105"	"화"	"22"	"음식점-중국음식"	"196"
"20131105"	"화"	"22"	"치킨"	"1993"
"20131105"	"화"	"22"	"피자"	"333"
"20131105"	"화"	"23"	"음식점-족발/보쌈전문"	"101"
"20131105"	"화"	"23"	"음식점-중국음식"	"131"
"20131105"	"화"	"23"	"치킨"	"1276"
"20131105"	"화"	"23"	"피자"	"109"
"20131106"	"수"	"00"	"음식점-족발/보쌈전문"	"58"
"20131106"	"수"	"00"	"음식점-중국음식"	"149"
"20131106"	"수"	"00"	"치킨"	"527"
"20131106"	"수"	"00"	"피자"	"27"
"20131106"	"수"	"01"	"음식점-족발/보쌈전문"	"23"
"20131106"	"수"	"01"	"음식점-중국음식"	"102"
"20131106"	"수"	"01"	"치킨"	"209"
"20131106"	"수"	"01"	"피자"	"25"
"20131106"	"수"	"02"	"음식점-족발/보쌈전문"	"13"
"20131106"	"수"	"02"	"음식점-중국음식"	"116"
"20131106"	"수"	"02"	"치킨"	"53"
"20131106"	"수"	"02"	"피자"	"14"
"20131106"	"수"	"03"	"음식점-족발/보쌈전문"	"11"
"20131106"	"수"	"03"	"음식점-중국음식"	"85"
"20131106"	"수"	"03"	"치킨"	"27"
"20131106"	"수"	"03"	"피자"	"6"
"20131106"	"수"	"04"	"음식점-중국음식"	"70"
"20131106"	"수"	"04"	"치킨"	"14"
"20131106"	"수"	"05"	"음식점-중국음식"	"54"
"20131106"	"수"	"05"	"치킨"	"11"
"20131106"	"수"	"05"	"피자"	"7"
"20131106"	"수"	"06"	"음식점-족발/보쌈전문"	"7"
"20131106"	"수"	"06"	"음식점-중국음식"	"50"
"20131106"	"수"	"06"	"피자"	"5"
"20131106"	"수"	"07"	"음식점-족발/보쌈전문"	"12"
"20131106"	"수"	"07"	"음식점-중국음식"	"58"
"20131106"	"수"	"07"	"피자"	"5"
"20131106"	"수"	"08"	"음식점-족발/보쌈전문"	"8"
"20131106"	"수"	"08"	"음식점-중국음식"	"47"
"20131106"	"수"	"08"	"치킨"	"6"
"20131106"	"수"	"08"	"피자"	"6"
"20131106"	"수"	"09"	"음식점-족발/보쌈전문"	"11"
"20131106"	"수"	"09"	"음식점-중국음식"	"164"
"20131106"	"수"	"09"	"치킨"	"10"
"20131106"	"수"	"09"	"피자"	"15"
"20131106"	"수"	"10"	"음식점-족발/보쌈전문"	"36"
"20131106"	"수"	"10"	"음식점-중국음식"	"452"
"20131106"	"수"	"10"	"치킨"	"24"
"20131106"	"수"	"10"	"피자"	"73"
"20131106"	"수"	"11"	"음식점-족발/보쌈전문"	"53"
"20131106"	"수"	"11"	"음식점-중국음식"	"1583"
"20131106"	"수"	"11"	"치킨"	"120"
"20131106"	"수"	"11"	"피자"	"208"
"20131106"	"수"	"12"	"음식점-족발/보쌈전문"	"69"
"20131106"	"수"	"12"	"음식점-중국음식"	"2463"
"20131106"	"수"	"12"	"치킨"	"374"
"20131106"	"수"	"12"	"피자"	"302"
"20131106"	"수"	"13"	"음식점-족발/보쌈전문"	"80"
"20131106"	"수"	"13"	"음식점-중국음식"	"1813"
"20131106"	"수"	"13"	"치킨"	"353"
