"일자","요일","시간대","업종","총_건수"
"20130905","목","05","음식점-족발/보쌈전문","8"
"20130905","목","05","치킨","8"
"20130905","목","05","음식점-중국음식","92"
"20130905","목","06","피자전문","6"
"20130905","목","06","치킨","7"
"20130905","목","06","음식점-족발/보쌈전문","8"
"20130905","목","06","음식점-중국음식","97"
"20130905","목","07","피자전문","5"
"20130905","목","07","치킨","6"
"20130905","목","07","음식점-족발/보쌈전문","19"
"20130905","목","07","음식점-중국음식","89"
"20130905","목","08","피자전문","5"
"20130905","목","08","치킨","5"
"20130905","목","08","음식점-족발/보쌈전문","10"
"20130905","목","08","음식점-중국음식","135"
"20130905","목","09","피자전문","11"
"20130905","목","09","음식점-족발/보쌈전문","14"
"20130905","목","09","치킨","20"
"20130905","목","09","음식점-중국음식","256"
"20130905","목","10","치킨","26"
"20130905","목","10","음식점-족발/보쌈전문","36"
"20130905","목","10","피자전문","75"
"20130905","목","10","음식점-중국음식","717"
"20130905","목","11","음식점-족발/보쌈전문","56"
"20130905","목","11","치킨","142"
"20130905","목","11","피자전문","189"
"20130905","목","11","음식점-중국음식","2374"
"20130905","목","12","음식점-족발/보쌈전문","82"
"20130905","목","12","치킨","255"
"20130905","목","12","피자전문","269"
"20130905","목","12","음식점-중국음식","3400"
"20130905","목","13","음식점-족발/보쌈전문","53"
"20130905","목","13","피자전문","227"
"20130905","목","13","치킨","257"
"20130905","목","13","음식점-중국음식","2425"
"20130905","목","14","음식점-족발/보쌈전문","73"
"20130905","목","14","피자전문","274"
"20130905","목","14","치킨","321"
"20130905","목","14","음식점-중국음식","1668"
"20130905","목","15","음식점-족발/보쌈전문","79"
"20130905","목","15","피자전문","340"
"20130905","목","15","치킨","536"
"20130905","목","15","음식점-중국음식","1311"
"20130905","목","16","음식점-족발/보쌈전문","99"
"20130905","목","16","피자전문","417"
"20130905","목","16","치킨","890"
"20130905","목","16","음식점-중국음식","1383"
"20130905","목","17","음식점-족발/보쌈전문","195"
"20130905","목","17","피자전문","551"
"20130905","목","17","치킨","1358"
"20130905","목","17","음식점-중국음식","1836"
"20130905","목","18","음식점-족발/보쌈전문","368"
"20130905","목","18","피자전문","760"
"20130905","목","18","치킨","2468"
"20130905","목","18","음식점-중국음식","2691"
"20130905","목","19","음식점-족발/보쌈전문","402"
"20130905","목","19","피자전문","784"
"20130905","목","19","음식점-중국음식","2633"
"20130905","목","19","치킨","3090"
"20130905","목","20","음식점-족발/보쌈전문","278"
"20130905","목","20","피자전문","617"
"20130905","목","20","음식점-중국음식","1463"
"20130905","목","20","치킨","2716"
"20130905","목","21","음식점-족발/보쌈전문","235"
"20130905","목","21","음식점-중국음식","545"
"20130905","목","21","피자전문","550"
"20130905","목","21","치킨","2701"
"20130905","목","22","음식점-족발/보쌈전문","220"
"20130905","목","22","음식점-중국음식","326"
"20130905","목","22","피자전문","392"
"20130905","목","22","치킨","2536"
"20130905","목","23","음식점-족발/보쌈전문","131"
"20130905","목","23","피자전문","137"
"20130905","목","23","음식점-중국음식","269"
"20130905","목","23","치킨","1570"
"20130906","금","00","피자전문","60"
"20130906","금","00","음식점-족발/보쌈전문","73"
"20130906","금","00","음식점-중국음식","216"
"20130906","금","00","치킨","673"
"20130906","금","01","피자전문","18"
"20130906","금","01","음식점-족발/보쌈전문","54"
"20130906","금","01","음식점-중국음식","199"
"20130906","금","01","치킨","236"
"20130906","금","02","피자전문","15"
"20130906","금","02","음식점-족발/보쌈전문","31"
"20130906","금","02","치킨","83"
"20130906","금","02","음식점-중국음식","160"
"20130906","금","03","피자전문","9"
