"date"	"weekday"	"time"	"type"	"freq"
2013-08-05	"월"	"12"	"족발/보쌈전문"	82
2013-08-05	"월"	"13"	"족발/보쌈전문"	64
2013-08-05	"월"	"14"	"족발/보쌈전문"	89
2013-08-05	"월"	"15"	"족발/보쌈전문"	74
2013-08-05	"월"	"16"	"족발/보쌈전문"	105
2013-08-05	"월"	"17"	"족발/보쌈전문"	218
2013-08-05	"월"	"18"	"족발/보쌈전문"	348
2013-08-05	"월"	"19"	"족발/보쌈전문"	423
2013-08-05	"월"	"20"	"족발/보쌈전문"	338
2013-08-05	"월"	"21"	"족발/보쌈전문"	302
2013-08-05	"월"	"22"	"족발/보쌈전문"	205
2013-08-05	"월"	"23"	"족발/보쌈전문"	139
2013-08-05	"월"	"00"	"중국음식"	237
2013-08-05	"월"	"01"	"중국음식"	202
2013-08-05	"월"	"02"	"중국음식"	167
2013-08-05	"월"	"03"	"중국음식"	147
2013-08-05	"월"	"04"	"중국음식"	99
2013-08-05	"월"	"05"	"중국음식"	100
2013-08-05	"월"	"06"	"중국음식"	89
2013-08-05	"월"	"07"	"중국음식"	82
2013-08-05	"월"	"08"	"중국음식"	117
2013-08-05	"월"	"09"	"중국음식"	248
2013-08-05	"월"	"10"	"중국음식"	699
2013-08-05	"월"	"11"	"중국음식"	2694
2013-08-05	"월"	"12"	"중국음식"	3975
2013-08-05	"월"	"13"	"중국음식"	3166
2013-08-05	"월"	"14"	"중국음식"	2251
2013-08-05	"월"	"15"	"중국음식"	1743
2013-08-05	"월"	"16"	"중국음식"	1482
2013-08-05	"월"	"17"	"중국음식"	1852
2013-08-05	"월"	"18"	"중국음식"	2531
2013-08-05	"월"	"19"	"중국음식"	2665
2013-08-05	"월"	"20"	"중국음식"	1741
2013-08-05	"월"	"21"	"중국음식"	670
2013-08-05	"월"	"22"	"중국음식"	305
2013-08-05	"월"	"23"	"중국음식"	299
2013-08-05	"월"	"00"	"치킨"	703
2013-08-05	"월"	"01"	"치킨"	259
2013-08-05	"월"	"02"	"치킨"	110
2013-08-05	"월"	"03"	"치킨"	42
